data,time,temperatura,umidade do ar,pluviometro,luminosidade,umidade do solo
28/06/2022,9:14:3,23.10,75.90,15,754,0
28/06/2022,9:15:36,23.10,73.00,13,763,0
28/06/2022,9:22:33,,,,,
28/06/2022,9:26:4,23.20,78.10,21,747,0
28/06/2022,9:29:47,23.10,71.90,9,762,1
28/06/2022,9:59:3,,,,,
28/06/2022,10:15:52,22.40,72.80,11,661,0
28/06/2022,10:16:46,22.20,73.40,17,733,0
28/06/2022,10:17:56,22.30,76.90,19,770,0
28/06/2022,10:21:5,22.70,77.50,14,739,0
28/06/2022,10:23:4,22.60,74.00,76,800,0
28/06/2022,10:23:22,22.50,74.40,22,776,0
28/06/2022,10:23:41,22.50,75.00,23,770,0
28/06/2022,10:25:50,,,,,
28/06/2022,10:27:59,,,,,
28/06/2022,10:28:16,,,,,
28/06/2022,10:29:15,21.90,74.60,15,682,0
28/06/2022,10:30:59,,,,,
28/06/2022,10:31:34,,,,,
28/06/2022,10:33:33,,,,,
28/06/2022,10:34:36,,,,,
28/06/2022,10:34:58,,,,,
28/06/2022,10:35:28,22.10,75.70,14,691,36
28/06/2022,10:36:37,21.90,73.50,13,728,31
28/06/2022,10:37:51,21.90,75.10,13,731,31
28/06/2022,10:39:0,22.10,75.50,14,82,99
28/06/2022,10:40:14,22.30,75.20,13,82,100
28/06/2022,10:41:38,22.40,75.10,14,79,99
28/06/2022,10:42:48,22.50,75.10,13,77,101
28/06/2022,10:43:56,22.60,74.90,13,74,100
28/06/2022,10:45:3,22.70,74.90,13,72,100
28/06/2022,10:46:13,22.80,75.00,13,72,100
28/06/2022,10:47:23,22.90,75.10,13,72,101
28/06/2022,10:48:32,23.00,75.30,13,74,100
28/06/2022,10:49:40,23.00,75.40,13,75,100
28/06/2022,10:50:50,23.10,75.50,13,77,100
28/06/2022,10:52:0,23.10,75.50,13,78,100
28/06/2022,10:53:9,23.20,75.70,13,78,100
28/06/2022,10:54:19,23.20,75.80,13,78,100
28/06/2022,10:55:28,23.30,76.10,13,78,100
28/06/2022,10:56:38,23.30,76.20,13,77,99
28/06/2022,10:57:47,23.40,76.50,13,76,99
28/06/2022,10:58:59,23.40,76.60,13,76,99
28/06/2022,11:0:9,23.40,76.70,13,76,100
28/06/2022,11:1:27,23.50,77.00,13,76,99
28/06/2022,11:2:36,23.50,77.10,13,75,99
28/06/2022,11:3:45,23.50,77.40,13,75,98
28/06/2022,11:4:55,23.50,77.50,13,75,98
28/06/2022,11:6:3,23.60,77.60,12,75,96
28/06/2022,11:7:13,23.60,77.90,13,76,99
28/06/2022,11:8:37,23.60,78.00,12,77,99
28/06/2022,11:9:45,23.70,78.30,13,76,99
28/06/2022,11:10:59,23.70,78.40,13,76,99
28/06/2022,11:12:25,23.70,78.40,13,73,99
28/06/2022,11:13:35,23.80,78.80,12,73,99
28/06/2022,11:14:45,23.80,78.80,12,73,99
28/06/2022,11:15:58,23.80,78.90,13,74,99
28/06/2022,11:17:8,23.80,79.10,12,74,99
28/06/2022,11:18:16,23.80,79.20,12,77,99
28/06/2022,11:19:52,23.80,79.30,13,76,99
28/06/2022,11:21:12,23.90,79.50,12,76,99
28/06/2022,11:22:36,23.90,79.70,13,72,99
28/06/2022,11:23:45,23.90,79.80,13,75,99
28/06/2022,11:25:15,24.00,80.00,12,74,98
28/06/2022,11:28:9,24.00,80.10,12,75,98
28/06/2022,11:29:28,24.00,80.20,12,77,98
28/06/2022,11:30:40,24.00,80.30,12,76,98
28/06/2022,11:31:50,24.00,80.40,12,76,98
28/06/2022,11:32:59,24.10,80.50,12,76,98
28/06/2022,11:34:12,24.10,80.60,12,75,98
28/06/2022,11:35:23,24.10,80.60,12,75,99
28/06/2022,11:36:40,24.10,80.90,12,77,98
